T2M,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
25.98,10.63,32.15,21.51,14.83,73.88,0,100.42,3.12,4.2,1.82,2.38,157.38,3.95,5.69,2.41,3.27,158
26.78,9.98,32.4,22.42,16.24,76.25,0,100.47,3.25,4.43,2.14,2.28,147.75,4.21,6.25,2.79,3.45,148.38
27.55,10.21,33.46,23.26,16.48,74.5,0,100.54,3.38,4.25,2.45,1.8,166.75,4.51,6.21,3.14,3.07,167.69
27.74,9.52,33.25,23.73,16.85,75.19,0.02,100.57,3.68,5.19,2.6,2.59,167.25,4.84,6.87,3.12,3.74,168.19
27.69,10.65,33.9,23.25,16.24,73.38,0,100.39,3.31,4.5,2.55,1.95,174.5,4.4,6.49,2.58,3.91,175.19
28.16,10.38,34.04,23.65,16.91,73.44,0,100.28,4.71,6.38,3.04,3.34,177,6.13,7.74,4.82,2.92,177.88
28.15,10.16,33.99,23.83,16.85,73.19,0.01,100.35,4.11,5.53,3.35,2.18,171.19,5.48,6.55,3.6,2.95,172.06
28.24,10.42,34.11,23.69,16.54,71.69,0,100.37,3.8,5.22,2.57,2.65,165.62,4.91,6.79,3.79,3,166.62
28.63,10.68,34.53,23.85,16.66,70.56,0,100.29,3.42,4.79,2.24,2.55,161.75,4.48,6.4,3.12,3.27,162.31
28.51,9.79,34.21,24.42,17.09,72.25,0.02,100.2,4.52,7.73,2.44,5.3,175.62,5.8,8.87,3.66,5.2,176.75
28.08,7.83,32.48,24.65,16.78,72.06,0.02,100.21,4.23,5.48,2.72,2.77,187,5.62,6.09,4.48,1.62,187.56
28.45,8.38,33.28,24.9,16.97,71.19,0.3,100.27,4.22,5.98,2.34,3.63,178.69,5.46,6.48,3.77,2.71,179.38
29.01,9.27,34.7,25.44,17.88,73.44,0.11,100.23,4.61,6.04,3.52,2.52,177.06,5.88,7.07,4.6,2.47,177.94
29.33,10.5,35.55,25.05,17.7,72.06,0.05,100.13,4.92,6.7,3.27,3.44,176.56,6.34,7.88,3.55,4.32,177.81
29.11,9.06,34.59,25.53,18.49,75.31,0.1,100.14,4.59,6.23,3.4,2.84,174.31,5.9,7.67,3.87,3.8,175.44
29.26,9.48,34.87,25.39,18.19,73.88,0.69,100.24,3.91,5.75,2.05,3.7,169.12,5.11,7.23,2.12,5.11,170.5
28.84,7.76,33.59,25.83,17.82,73.56,0.03,100.32,4,5.12,3.05,2.08,154.88,5.28,6.61,4.22,2.39,155.88
28.76,7.51,33,25.48,17.52,72.31,0.08,100.41,3.45,6.05,0.51,5.55,108.94,4.39,6.67,0.65,6.03,109.94
27.86,4.75,30.56,25.82,16.36,70.44,0.52,100.43,3.12,4.4,1.81,2.59,131.12,3.99,5.18,2.52,2.66,131.31
28.65,8.78,33.51,24.73,15.99,66.62,0.3,100.29,2.87,5.56,0.37,5.2,130.38,3.55,5.94,0.45,5.48,133.81
28.94,9.28,34.19,24.9,16.36,67.56,1.04,100.29,3.35,5.19,1.53,3.66,163.12,4.33,6,2.16,3.84,163.69
29.01,9.93,34.73,24.8,16.3,67.44,0.02,100.21,4.19,5.86,2.92,2.94,175.88,5.39,6.93,4.12,2.82,176.06
29.4,10.25,35.15,24.9,16.78,68.12,0.01,100.21,4.37,6.3,2.95,3.36,173.38,5.52,7.05,3.93,3.12,174
29.36,8.71,34.32,25.62,17.7,71.12,0,100.28,4.67,6.19,2.95,3.24,171.62,5.83,6.67,4.71,1.96,172.25
29.9,10.1,35.76,25.65,17.27,68.12,0,100.21,5.18,6.71,3.45,3.27,177.25,6.41,8.32,5.27,3.05,178.19
30.55,11.13,36.74,25.61,17.4,66.19,0.01,100.04,5.73,6.95,4.44,2.52,182,7.06,8.46,5.1,3.36,183
30.47,10.15,36.26,26.11,17.88,67.81,0.02,99.96,5.26,6.38,3.82,2.55,171.56,6.45,7.92,4.24,3.68,172.56
29.99,10.05,35.89,25.83,17.94,69.94,0.06,100.05,4.73,6.73,3.14,3.6,156.56,5.84,7.54,3.57,3.96,157.12
29.82,8.2,34.97,26.76,17.94,69.94,0.03,100.13,3.86,6.23,2.23,4.01,125.19,4.62,7.12,2.38,4.75,125.12
28.83,4.63,31.59,26.96,18.01,72.88,0.06,100.08,3.22,4.82,1.72,3.1,106.38,3.93,5.55,2.48,3.06,106.06
29.27,6.75,33.13,26.38,17.82,70.88,0.04,99.98,2.71,5.24,0.73,4.51,84.38,3.18,6.09,0.95,5.14,83.56
30.3,8.48,35.18,26.7,18.13,68.56,0.11,99.97,2.92,6.63,0.24,6.39,144.06,3.47,7.26,0.3,6.95,143
30.95,8.2,35.44,27.25,17.21,63.12,0.04,100.04,2.23,4.3,0.68,3.62,163.31,2.81,5.86,0.9,4.96,166.81
32.09,10.52,38.38,27.86,16.6,58.19,0.78,100.04,4.03,6.37,1.45,4.91,177.62,5.09,8.04,1.78,6.26,176.38
33.23,13.41,41.01,27.61,16.17,54.12,0.05,99.85,4.95,7.41,1.5,5.91,213.69,6.22,8.87,1.62,7.25,212.44
33.18,11.77,40.29,28.52,16.42,54.25,0.24,99.76,4.78,6.78,1.83,4.95,184.31,5.82,8.08,1.92,6.16,184.25
32.41,10.53,38.61,28.08,18.13,61.69,0.19,99.84,4.77,7.34,2.19,5.15,181.25,5.8,8.56,2.4,6.16,182.94
31.32,9.79,37.37,27.58,18.19,65.94,0.04,99.99,5.82,7.17,4.62,2.55,178.44,6.92,8.43,5.27,3.16,179.81
30.67,10.26,36.94,26.67,18.49,69.56,0,100.03,6.1,7.51,4.59,2.93,176.25,7.28,8.78,5.24,3.54,177.69
30.62,9.99,36.6,26.61,18.25,68.62,0,100.03,6.03,7.58,4.73,2.84,173.31,7.16,8.82,6.01,2.81,174.75
30.15,10.16,36.31,26.15,17.58,68.56,0.14,100.14,5.95,7.63,4.3,3.34,167.81,7.07,8.73,5.88,2.84,168.56
29.9,10.74,36.2,25.46,16.85,67.25,0,100.15,5.72,7.1,4.28,2.82,171.69,6.95,8.02,6.01,2.01,172.25
30.41,12.21,37.33,25.12,17.15,66.81,0,99.99,5.69,7.45,4.43,3.02,171.19,6.89,8.46,4.94,3.52,172.25
30.83,10.62,36.95,26.34,18.13,67.94,0,99.9,6.12,7.15,4.74,2.41,175,7.34,8.36,6.25,2.11,175.94
31.01,10.88,37.58,26.7,18.19,67.75,0.01,99.88,5.47,6.92,4.46,2.46,169.81,6.58,8.27,5.12,3.16,171
30.42,9.06,35.92,26.86,18.49,70.06,0.03,99.94,5.28,6.8,4.08,2.72,174.06,6.4,7.87,5.66,2.21,175
29.66,7.98,34.55,26.58,18.13,71.56,0.24,100.02,4.5,6.44,3.36,3.08,171.88,5.55,7.51,4.02,3.48,172.81
29.71,9.19,35.02,25.83,17.94,70.94,0.14,100.08,4.77,6.7,2.71,3.99,174.56,5.84,7.88,4.38,3.5,175.69
30.88,10.9,37.29,26.39,17.58,65.94,0,100.01,6.3,7.88,4.74,3.14,177.44,7.55,9.11,6.2,2.9,178.44
31.61,11.02,37.96,26.94,18.01,64.06,0,99.83,6.09,7.98,4.5,3.48,180.94,7.27,9.37,5.21,4.16,182.5
32.13,9.76,37.95,28.19,17.09,59.31,0.23,99.68,3.85,6.05,1.08,4.98,194.81,4.78,7.41,0.99,6.41,194.56
31.03,7.95,35.69,27.73,18.07,65.56,0.01,99.68,4.38,6.95,1.42,5.53,181.44,5.43,8.41,1.72,6.69,182.88
30.88,8.93,35.88,26.95,17.52,64.94,0,99.84,4.63,6.94,2.3,4.63,185.5,5.84,8.34,2.62,5.73,187
30.81,9.9,36.9,27.01,17.15,64.44,0.04,100.01,5.51,7.66,4.18,3.48,169.06,6.67,8.99,5.58,3.41,169.88
30.4,8.5,35.65,27.14,16.6,63,0.01,99.95,5.48,7.01,4.16,2.84,168.62,6.45,7.83,4.82,3.01,169.19
30.98,8.88,36.06,27.18,17.46,63.44,0,99.86,6.34,8.23,4.58,3.65,174.94,7.45,9.56,5.36,4.2,175.75
31.94,10.04,37.63,27.59,17.27,60,0.01,99.89,5.58,7.32,3.03,4.29,178.5,6.7,8.95,3.48,5.47,180.19
32.6,10.32,38.57,28.25,17.46,58.88,0,99.8,4.05,6.57,0.52,6.05,168.69,4.88,7.93,0.48,7.45,167.25
33.01,9.42,38.59,29.18,16.72,55.5,0.18,99.78,3.97,7.73,0.63,7.1,194.19,5.1,9.39,0.33,9.06,211
32.58,8.72,37.54,28.82,17.46,58.12,0.4,99.71,5.1,7.69,0.69,7,201.5,6.3,9.36,0.8,8.55,204.31
33.8,11.09,40.19,29.09,16.42,52,0,99.59,4.56,7.2,0.9,6.3,237.69,5.8,8.91,1.07,7.84,239.94
33.01,9,38.35,29.35,16.24,52.81,0,99.64,4.44,6.42,1.42,5,223.5,5.77,8.38,1.78,6.59,225.12
32.9,8.28,37.15,28.87,15.26,49.69,0.01,99.76,4.24,5.55,2.42,3.14,235.31,5.81,8.23,2.91,5.33,237.12
30.88,6.36,34.78,28.42,15.5,55.5,0.15,99.75,5.74,9.5,3.08,6.42,268.88,7.44,11.78,3.86,7.91,269.38
31.11,7.61,35.3,27.69,14.95,53.12,0,99.59,4.02,6.46,2.21,4.25,278.69,5.23,8.24,2.79,5.45,278.69
32.38,9.37,37.92,28.55,14.47,48.88,0.04,99.51,5.3,7.92,1.33,6.59,220.44,6.86,10.22,1.38,8.84,223.44
32.44,7.47,36.65,29.18,15.01,49.75,0.01,99.73,5.32,7.47,4.01,3.46,235.25,7,9.93,4.99,4.94,236.5
32.62,7.82,36.93,29.11,15.32,50.62,0.01,99.86,5.13,6.96,2.59,4.38,230.5,6.77,9.08,3.12,5.96,232.06
33.17,8.88,38.01,29.12,14.95,48.12,0.01,99.78,4.6,8.02,1.28,6.74,245.94,5.97,10.23,2.11,8.12,247.56
32.3,9.52,37.83,28.32,15.99,53.81,0,99.51,4.49,8.38,0.49,7.89,204.94,5.4,10.39,0.4,9.99,206.75
31.55,8.23,36.39,28.16,15.56,54.56,0.24,99.65,4.59,7.72,1.38,6.34,251.88,5.71,9.23,1.81,7.42,253
32.96,9.98,38.4,28.42,14.77,48.38,0.01,99.77,5.82,7.55,2.96,4.59,255,7.53,9.65,4.15,5.5,256.12
31.62,6.48,35.23,28.73,15.69,54.44,0.02,99.88,5.34,7.66,4.25,3.41,261.12,6.64,9.68,5.3,4.37,262.19
30.9,7.39,35.37,27.98,16.72,60.5,0.03,99.74,4.5,6.62,3.34,3.29,239.75,5.33,7.66,4.12,3.53,241.81
29.97,7.82,34.58,26.76,16.6,63.44,0.04,99.72,3.15,5.43,0.52,4.91,232.62,3.7,6.38,0.77,5.6,232.69
29.99,7.98,34.69,26.72,16.78,64.25,2.87,99.79,5.71,7.5,3.8,3.7,212,6.63,8.72,4.34,4.38,213.69
28.23,5.89,31.66,25.77,16.36,68.69,1.43,100.02,3.98,6.41,1.4,5.01,238.25,4.61,7.56,1.57,6,239.12
29.54,7.41,33.41,26.01,15.99,62.88,1.23,99.96,3.94,5.59,2,3.59,246.44,4.93,6.53,3.2,3.34,248.19
30.34,8.11,34.98,26.87,15.26,57.19,2.31,99.77,4.93,7.49,3.12,4.37,248.44,6.32,8.77,4.26,4.52,250
31.77,11.27,37.56,26.3,15.56,55.31,0.12,99.57,6.77,8.83,5.69,3.15,251.44,8.66,11.27,7.22,4.04,252.75
30.9,6.32,34.19,27.87,15.2,54.69,1.02,99.69,6.4,9.07,4,5.07,257.19,8.27,11.48,6.77,4.71,258.31
31.21,8.62,35.63,27.02,15.01,53.31,0.18,99.75,5.76,7.55,2.96,4.6,246.69,7.55,8.84,5.84,2.98,248.56
31.58,7.52,35.37,27.84,15.01,52.06,0.13,99.69,5.41,7.48,2.91,4.58,243.75,7.24,8.71,5.12,3.6,245.56
32.22,9.41,37.27,27.85,14.95,50.19,0.5,99.62,5.89,8.22,4.48,3.73,246.19,7.77,9.68,6.34,3.33,247.25
31.54,6.59,34.98,28.39,14.89,51.75,2.11,99.81,5.55,6.98,4.34,2.64,248.5,7.19,8.17,6.22,1.95,249.19
30.12,8.49,34.92,26.43,15.99,60.56,25.12,99.88,5.98,7.02,4.71,2.3,235.88,8.05,9.91,6.7,3.22,237.81
29.85,11.12,36.19,25.08,15.14,59.12,2.37,99.89,6.15,7.64,4.91,2.73,251.75,8.57,10.16,6.6,3.55,252.56
29.68,8.3,34.23,25.94,15.44,60.25,0.05,99.76,5.41,7.03,3.48,3.55,268,7.69,8.64,6.26,2.38,268.5
29.85,9.52,35.16,25.65,15.14,59,0.33,99.7,5.81,8.03,3.67,4.35,258.81,7.98,10.22,5.42,4.8,260.25
28.76,8,33.19,25.19,15.56,64,0.33,99.82,5.6,8.09,1.52,6.57,217.94,7.24,9.59,2.13,7.46,219.56
30.91,11.72,37.01,25.28,15.14,56.38,0.55,99.83,4.68,8.13,1.93,6.2,245.25,6.48,9.8,2.86,6.94,249.12
28.81,6.45,32.63,26.18,14.89,60.69,0.43,99.89,4.86,7.12,2.89,4.23,237,6.67,8.38,4.27,4.09,239.56
30.22,9.79,35.65,25.87,15.08,57.62,4.2,99.78,3.88,6.39,1.87,4.53,235.44,5.48,9.32,2.45,6.87,239.56
30.58,10.24,36.12,25.87,14.34,53.38,0.9,99.83,4.64,8.16,1.18,6.98,259,6.38,10.61,1.69,8.92,261.88
28.96,8.63,34.05,25.41,13.18,53.5,0.5,99.98,7.22,8.6,4.83,3.77,260.75,9.33,11.1,7.39,3.71,262.12
29.76,10.12,35.12,25.01,13,51.25,1.77,99.91,6.25,7.75,4.46,3.29,282.12,8.38,9.74,6.37,3.38,282.06
30.06,9.27,35.05,25.79,12.7,49,2.3,99.81,7.62,9.79,6.03,3.76,263.25,10.08,11.67,8.48,3.2,264.06
29.72,9.35,34.89,25.54,13.43,52.38,2.75,99.8,6.98,8.47,5.04,3.44,260.44,9.18,11.15,6.72,4.44,260.94
30.23,11.86,36.73,24.88,14.1,53.81,1.54,99.79,5.67,7.52,2.85,4.66,250,7.7,9.96,5.11,4.85,251.38
31.11,12.36,37.65,25.29,14.53,52.69,1.19,99.77,5.3,8.02,2.63,5.38,241.12,7.2,9.29,4.72,4.56,244.31
31.34,10.05,36.9,26.84,15.81,56.19,0.55,99.74,4.97,7.77,1.93,5.84,233.19,6.35,9.04,2.97,6.07,236.25
30.53,7.31,34.75,27.44,16.17,59.75,0.64,99.73,4.84,6.57,3.03,3.54,223.06,6.27,8.3,3.76,4.54,225.56
30.81,8.01,35.37,27.37,15.75,57.5,0.86,99.7,4.16,6.09,1.44,4.66,223.31,5.41,7.64,1.91,5.73,225.81
30.55,8.35,35.5,27.15,15.87,59.19,1.56,99.75,3.67,5.62,1.36,4.25,214.06,4.6,6.49,1.71,4.79,216.19
28.76,6.12,32.24,26.12,16.3,66.75,1.84,99.83,4.27,5.72,2.87,2.86,220.38,4.99,6.91,3.24,3.67,223.25
27.94,5.5,31.01,25.51,17.03,72.69,12.03,99.82,3.27,5.59,0.45,5.13,219.94,3.93,6.57,0.5,6.07,220.06
28.07,6.62,32.07,25.45,17.46,74.06,6.16,99.79,2.46,3.73,1.66,2.07,212.31,3.29,5.34,2.41,2.94,226.62
27.87,5.07,30.67,25.6,17.82,76,4.13,99.72,2.51,4.33,0.55,3.78,245.81,3.31,5.69,0.67,5.02,248
27.05,4.62,29.4,24.78,17.64,78.62,3.89,99.78,3.34,4.85,1.44,3.41,259.44,4.12,6,2,4,260.19
27.77,5.23,30.73,25.51,18.01,77.38,15.76,99.83,3.43,5.41,2.16,3.25,193.69,4.7,7.71,2.34,5.38,194.75
27.18,3.65,29.06,25.41,18.31,81.12,12.11,99.95,5.41,6.59,4.32,2.27,197.69,6.86,8.91,4.8,4.11,198.44
28.16,7.24,32.43,25.18,17.64,74.56,1.63,99.91,6.23,8.08,3.81,4.27,222.94,8.16,10.12,6.39,3.73,223.81
28.51,8.7,33.36,24.65,16.72,69.81,0.88,99.85,5.96,7.47,4.12,3.34,243.62,8.09,9.38,6.81,2.56,244.44
28.4,8.79,33.51,24.72,15.56,65.75,0.42,99.78,6.3,8.55,4.21,4.34,259.81,8.21,10.12,6.27,3.84,259.88
28.13,8.39,32.93,24.54,15.5,66.06,4,99.68,7.27,10.2,4.48,5.73,252.5,9.36,12.2,6.94,5.26,253.38
29.68,11.42,35.73,24.31,15.93,62.75,1.12,99.65,6.01,8.01,3.7,4.32,246.81,8.25,9.48,7.2,2.28,247.81
29.25,9.81,34.65,24.84,15.81,63.31,1.18,99.76,4.2,6.6,1.88,4.73,213.62,5.58,7.7,2.21,5.48,217.12
28.33,8.2,33.03,24.84,15.69,66,1.2,99.9,3.76,5.2,0.45,4.75,205.19,5,7.39,0.66,6.73,218.75
27.69,6.03,31.05,25.01,17.15,74.38,8.39,100.03,3.05,4.93,0.16,4.77,246.69,4.06,6.55,0.27,6.27,260.38
27.07,6.44,30.61,24.17,16.66,75.25,11.79,100.07,3.16,4.94,1.55,3.4,233.81,4.34,6.73,1.98,4.74,235.31
27.47,7.12,31.35,24.24,17.15,75.5,4.29,100.03,3.3,5.17,1.35,3.82,232.81,4.35,5.9,1.86,4.04,234.12
27.22,5.09,30.37,25.28,17.46,77.62,3.81,100.02,3.07,4.95,0.96,3.99,255.06,3.99,5.67,1.52,4.15,255.44
27.31,6.91,31.44,24.53,16.54,73.94,11.56,100.08,3.61,6.14,1.77,4.38,249.5,4.79,7.04,2.34,4.7,251.5
26.9,5.76,30.26,24.51,16.85,76.56,14.78,100.13,4.1,6.17,2.11,4.06,257.31,5.6,7.3,3.33,3.97,258.75
26.71,4.91,29.62,24.72,17.64,80.56,1.59,100.05,3.77,5.05,2.76,2.28,233.88,4.93,6.97,4.06,2.91,235.31
27.81,8.3,32.75,24.45,17.52,75.94,14.2,99.94,3.77,6.12,1.65,4.48,272.44,5.14,7.2,2.7,4.5,273.56
28.12,8.73,33.02,24.29,16.54,70.75,1.47,99.86,4.12,6.59,2.3,4.3,279.62,5.82,7.89,3.81,4.08,280.5
27.86,7.66,31.89,24.23,16.24,70.06,3.67,99.87,4.39,6.45,2.54,3.9,275.56,6.35,7.7,4.73,2.98,276.19
27.37,8.49,32.37,23.87,16.24,72.25,9.61,99.87,6.1,8.55,4.04,4.52,255.12,8.14,10.28,6.3,3.98,256
27.68,8.72,32.54,23.82,16.24,70.88,2.39,99.77,6.55,8.67,4.71,3.96,250.62,8.81,10.32,7.48,2.84,251.38
28.54,10.37,33.99,23.62,16.72,70.06,3.45,99.87,4.75,6.94,2.2,4.73,246.06,6.72,8.48,4.43,4.05,248.44
28.57,9.44,33.73,24.29,17.27,71.62,0.04,99.96,4.34,6.25,2.55,3.7,230.62,5.98,7.39,3.92,3.48,233.44
28.98,9.77,34.37,24.61,16.91,69.06,0.3,100.05,4.05,5.28,2.68,2.59,220.38,5.55,7.14,3.3,3.84,224.5
28.53,7.39,32.64,25.24,16.54,68.94,0.35,100.06,3.1,4.39,0.52,3.88,225.88,4.29,6.27,0.84,5.42,228.88
28.26,9.04,33.82,24.79,16.36,69.69,0.07,99.99,3.22,5.77,0.42,5.34,221.62,4.22,7.17,0.52,6.65,224.62
28.84,9.88,34.33,24.45,17.03,70.25,0.78,99.9,4.16,6.39,2.57,3.82,236.88,5.62,7.62,4.01,3.61,240.31
29.51,10.88,35.44,24.57,16.24,64.25,4.78,99.83,4.63,7.58,1.9,5.68,269.44,6.72,9.23,3.88,5.34,271.25
29.41,12.43,36.29,23.87,16.42,66.19,1.34,99.82,3.99,6.35,1.29,5.07,251.31,5.36,7.76,1.82,5.95,254.12
29.82,11.36,36.12,24.77,16.66,65,0.09,99.8,3.77,6.04,2.4,3.63,243.56,5.34,7.45,3.38,4.08,249.69
30.15,11.86,36.8,24.93,15.99,61.94,0,99.92,4.06,6.3,2.27,4.02,237.75,5.35,7.52,2.73,4.8,240.19
30.44,12.16,37.39,25.23,16.11,61.56,0.09,99.94,3.31,6.41,1.04,5.36,255.81,4.57,7.66,1.45,6.23,262.88
30.26,10.45,35.94,25.48,16.17,61.81,0.01,99.85,4.15,6.89,1.8,5.09,279.5,5.82,8.62,3.13,5.49,280.88
29.9,10.02,35.83,25.81,16.66,64.69,0,99.73,3.3,6.11,0.87,5.24,239,4.52,7.34,1.19,6.16,244.94
30.09,11.23,36.26,25.03,16.24,62.56,0.13,99.66,4.04,7.21,2.01,5.2,256.06,5.78,8.89,3.64,5.25,260.19
30.16,11.23,36.19,24.95,15.69,60.5,0.13,99.76,4.38,7.06,2.05,5.02,266,6.45,8.95,4.03,4.92,268.12
30.62,12.3,37.11,24.8,15.99,60,0.02,99.81,4.42,6.59,2.84,3.75,247,6.12,7.81,4.33,3.48,251.62
30.33,11.15,36.64,25.49,15.93,60.69,0,99.92,4.2,6.41,2.32,4.09,248.5,5.88,7.52,4.17,3.35,252.88
30.05,11.8,36.51,24.71,16.3,63.12,0.04,99.97,4.19,5.84,2.68,3.16,219.56,5.69,7.18,3.37,3.81,222.81
29.51,8.72,35,26.28,16.54,65.75,0.82,100.06,3.48,6.08,1.15,4.94,223.5,4.65,7.75,1.38,6.37,226.19
30,9.56,35.65,26.09,17.03,66.38,1.26,100.06,3.46,4.96,1.92,3.04,217.31,4.57,6.73,2.69,4.04,219.5
29.01,6.88,32.96,26.08,16.78,68.12,0.46,100.07,3.12,5.5,1.25,4.25,236.5,4.21,7.54,1.61,5.93,239.5
28.75,7.08,32.83,25.76,17.27,71.12,1.2,100.18,2.72,4.49,0.84,3.65,207.38,3.69,6.25,1.05,5.2,209.94
29.58,8.24,34.22,25.98,17.03,67.38,2.75,100.19,3.02,4.62,1.06,3.55,217.06,4.05,6.8,1.39,5.41,220.19
29.25,7.56,33.71,26.15,16.85,67.75,0.53,100.05,3.47,4.89,0.52,4.36,223.75,4.66,6.98,0.51,6.48,226.19
28.77,6.59,32.64,26.04,17.4,71.38,6.08,99.99,3.51,4.92,1.08,3.85,223.75,4.83,7.08,1.27,5.81,225.69
28.55,7.13,32.83,25.71,16.66,69.75,1.37,100.07,3.19,5.26,1.03,4.23,213.19,4.34,7.54,1.36,6.17,216.75
29.43,8.77,34.35,25.58,16.72,67,0.25,100.1,3.34,5.87,0.52,5.34,212.94,4.39,7.51,0.63,6.88,214.06
28.95,6.95,33.27,26.32,17.27,70.25,0.1,100.06,2.96,3.83,1.75,2.07,219.5,4.1,5.68,2.16,3.52,222.25
29.74,9.11,34.73,25.62,15.93,62.12,0.12,99.84,4.16,5.79,2.8,2.98,260.56,6.24,7.7,4.83,2.88,263.44
30.53,11.81,36.83,25.02,15.38,58.31,0.75,99.7,4.63,7.59,1.8,5.79,278.69,6.81,9.15,4.34,4.82,280.06
29.8,10.85,35.61,24.76,15.62,61,0.25,99.75,4.43,6.35,2.16,4.19,271.19,6.52,7.99,4.25,3.74,273.31
30.56,11.81,37.08,25.27,15.87,60,0.06,99.83,4.34,7.57,0.98,6.59,240.81,5.74,9.19,1.24,7.94,241.69
29.12,7.21,33.32,26.11,16.3,65.69,0.46,99.98,4.34,7.2,1.35,5.85,269.88,5.97,8.62,2.04,6.59,271.62
28.94,8.84,34.03,25.19,16.48,67.56,0.46,100.04,3.48,4.96,2.04,2.92,221.81,4.82,7.35,2.69,4.66,225.19
29.93,11.23,36.55,25.32,15.93,63,0.35,100.11,4.02,6.07,0.91,5.16,216.31,5.36,7.71,1.23,6.48,219
29.77,8.21,34.58,26.37,16.42,64.38,2.52,100.21,3.18,5.23,0.59,4.63,213.56,4.23,6.95,0.67,6.28,216.62
29.3,7.07,33.44,26.38,16.66,66.94,2.55,100.23,2.95,5.07,0.31,4.76,226.5,4.09,7.23,0.69,6.54,229.44
29.22,7.85,33.5,25.65,16.6,66.88,0.76,100.11,3.76,6.32,0.68,5.64,219.81,5.06,7.41,0.73,6.67,233.56
28.31,6.02,31.99,25.98,16.72,70.31,1.3,100.03,3.45,4.35,1.46,2.89,195.69,4.53,6.01,1.77,4.23,194.62
27.8,6.57,32.04,25.47,17.09,74,4.26,99.92,3.03,4.7,1.79,2.91,200.56,3.98,5.55,2.3,3.25,199.69
28.48,7.83,33.07,25.24,16.11,68.25,1.45,99.96,4.73,7.98,2.09,5.88,207.56,6.13,10.26,3.05,7.2,209.56
28.44,10.34,34.17,23.83,15.5,66.94,0.39,100.26,5.65,7.32,4.27,3.05,184.25,7.03,9.38,5.02,4.36,186.12
28.57,9.34,34.21,24.87,15.75,66.56,0.17,100.32,2.93,4.78,0.2,4.58,195.06,3.94,6.55,0.17,6.38,202.94
28.77,8.81,33.8,24.98,16.17,67.56,0.05,100.36,3.27,4.75,1.82,2.93,163.31,4.12,6.01,1.7,4.31,164.62
29.26,8.61,34.23,25.62,16.3,66.06,0.49,100.46,3.38,4.75,2.21,2.54,167.38,4.19,6.31,2.7,3.62,168.56
29.12,9.03,34.29,25.26,16.85,68.88,0.29,100.48,4.16,6.02,3.02,2.99,169.38,4.95,7.23,3.54,3.69,170.31
29.44,9.33,34.72,25.39,16.85,67.38,0.25,100.26,3.84,5.46,2.76,2.7,182.12,4.59,6.21,3.09,3.12,183.88
27.2,4.9,30.01,25.12,16.85,75,4.75,100.15,3.75,6.01,1.12,4.89,288.31,4.59,6.97,1.86,5.12,288.5
27.73,6.12,30.92,24.79,16.6,72,7.56,100.13,2.29,3.08,0.92,2.16,210.25,2.99,3.58,1.49,2.09,208.88
27.2,3.82,29.43,25.61,17.33,77.12,6.88,100.28,1.74,2.72,0.75,1.97,126.75,2.23,3.66,0.9,2.76,126.38
26.77,4.78,29.69,24.9,17.03,78,1.47,100.44,1.76,2.88,0.28,2.6,148.81,2.35,3.79,0.31,3.47,148.5
27.55,7.05,31.81,24.75,16.48,73,0.36,100.39,2.14,4.43,0.13,4.3,137.94,2.74,4.77,0.12,4.65,134.81
28.36,9.06,33.49,24.43,15.75,67.12,0.29,100.18,2.5,4.84,0.23,4.61,154.19,3.13,6.61,0.41,6.21,154.44
28.81,9.41,34.1,24.69,16.17,67.06,0.07,100.08,3.1,5.81,0.88,4.93,135.56,3.78,6.55,0.71,5.84,135.69
28.58,6.89,32.94,26.05,16.97,70.44,0.14,100.15,2.61,4.78,0.77,4.01,117.12,3.27,5.39,0.87,4.52,116.75
28.94,9.05,34.09,25.04,16.3,67.12,0.17,100.16,2.57,5.06,1.19,3.88,150.75,3.2,5.94,1.55,4.39,149.31
28.81,9.05,34.19,25.13,16.42,68.12,0.52,100.06,3.26,6.26,1.29,4.97,153.75,3.98,6.82,2.02,4.8,139.06
26.9,3.48,28.91,25.43,18.49,83,22.44,99.96,6.16,8.54,2.48,6.05,326.56,7.7,10.27,3.15,7.12,311.88
26.88,3.16,28.77,25.62,19.23,86.31,29.45,99.81,9.05,11.72,5.23,6.49,139,11.33,14.16,7.22,6.95,138.81
26.64,2.41,28.05,25.63,19.35,87.81,118.93,99.65,7.27,8.73,5.09,3.64,44.69,9.15,10.97,7.1,3.87,43.75
26.19,2.96,27.95,24.99,19.1,89.19,39.53,99.69,3.8,6.51,0.48,6.02,157.25,5.09,7.57,0.34,7.23,156.44
26.23,2.75,27.7,24.95,18.98,88.5,19.59,99.96,2.46,3.78,0.87,2.91,49.81,3.3,5.77,1.34,4.42,49.5
26.57,5.44,29.8,24.37,17.7,81.75,14.29,100.04,2.8,4.6,1.23,3.38,82.06,3.69,5.12,1.75,3.36,67
26.57,3.77,28.48,24.7,18.55,85.12,16.55,100.17,1.18,2.23,0.39,1.84,113,1.59,3.57,0.48,3.09,127.31
26.47,4.42,29.02,24.6,18.13,83.94,4.49,100.23,3.09,3.49,2.51,0.98,153.81,4.23,5.38,3.43,1.95,154
