QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,T2M,T2M_RANGE,T2M_MAX,T2M_MIN
5.31,84.12,0.65,98.87,4.01,6.67,2.13,4.54,156.69,5.58,8.29,2.41,5.88,157.31,7.19,8.02,11.96,3.95
4.7,84.38,3.69,98.63,8.5,11.48,3.8,7.69,227.38,11.03,14.91,5.78,9.12,228.56,5.22,4.59,7.67,3.08
3.97,68.06,3.57,98.85,10.52,13.44,7.12,6.32,212.69,13.81,17.41,9.23,8.18,213.94,6.45,7.01,10.04,3.03
4.21,80.38,5.69,98.53,9.58,12.9,6.61,6.3,228.25,12.23,16.3,8.85,7.45,229.44,4.23,4.25,6.01,1.76
3.78,80.81,2.88,99.23,5.12,6.45,2.83,3.62,212.62,7.26,8.83,5.44,3.39,213.5,2.88,4.97,5.45,0.48
4.15,90.31,7.22,98.36,4.35,6.69,1.77,4.91,102.06,5.48,8.1,1.99,6.12,103,2.4,3.9,4.68,0.78
3.54,89.62,11.3,99.52,7.27,10.62,3.48,7.14,322.19,9.7,13.34,5.77,7.57,323.75,0.41,4.77,1.68,-3.08
2.62,86.44,0.63,100.62,2.46,3.6,1.05,2.55,218.88,3.48,5.68,1.6,4.08,218.88,-2.59,2.31,-1.61,-3.92
2.62,87.81,0.16,100.62,2.55,3.43,1.91,1.52,91.44,3.79,5.77,2.64,3.13,91.75,-2.89,5.27,-0.29,-5.56
2.56,85.75,0.21,100.18,3.46,4.06,2.34,1.72,218.88,4.88,6.37,4.1,2.27,204.25,-2.86,7.4,1.2,-6.2
2.38,87.25,0.56,100.27,5.73,7.74,3.48,4.27,271.06,7.84,9.72,5.44,4.28,271.94,-3.98,6.21,-1.06,-7.27
2.56,79.38,0.36,101.23,5.91,7.06,4.58,2.48,225.69,8.25,9.02,7.2,1.83,226.5,-1.79,8.21,2.4,-5.81
3.42,93.31,1.42,101.22,4.98,6.08,3.89,2.19,210.06,7.01,8.51,5.72,2.79,211.06,-0.34,2.91,1.12,-1.78
3.42,91.5,0.4,101.56,2.98,3.88,1.7,2.19,212.12,4.6,5.65,2.4,3.24,212.69,0.03,5.68,3.48,-2.2
3.3,88.94,0.09,101.51,3.59,5.3,2.72,2.59,234.88,5.71,9.01,3.63,5.38,235.38,-0.03,6.6,4.19,-2.42
2.93,85,0,101.2,4.24,5.62,2.59,3.03,207.31,6.55,8.36,4.8,3.56,207.75,-0.67,7.49,4.09,-3.4
3.11,87.25,0,100.45,3.32,4.18,2.07,2.1,149.19,5.27,7.19,3.16,4.02,149.56,-0.52,9.21,5.42,-3.79
3.48,82.44,1.02,99.57,6.07,8.11,3.38,4.73,159.75,8.71,11.69,6.13,5.55,160.69,1.58,10.75,7.64,-3.11
2.87,74.69,2.1,99.89,7.8,9.3,6.36,2.94,231.38,10.38,11.27,8.67,2.59,232.44,0,4.43,2.15,-2.28
2.5,71.94,0.05,100.71,5.4,6.83,2.95,3.88,211.75,7.83,9.65,5.61,4.04,212.44,-0.73,5.41,2.52,-2.88
3.17,85.06,3.34,99.07,5.62,8.96,2.83,6.13,150.75,7.73,11.92,5.37,6.55,151.69,-0.33,4.39,1.45,-2.95
3.3,84.31,0.89,99.27,8.74,10.14,7.45,2.7,219.62,11.66,13.35,10.3,3.05,220.88,0.48,4.84,2.87,-1.98
3.11,85.38,2.73,99.55,5.93,8.36,1.88,6.48,227.88,8.48,10.91,3.39,7.52,228.69,-0.58,5.47,2.24,-3.23
3.6,92.81,2.93,98.96,4.7,7.93,0.6,7.33,201.31,6.58,11.05,0.98,10.06,202.81,0.05,4.42,2.01,-2.41
2.32,77.88,0.16,99.14,5.39,8.48,2.25,6.23,233.19,7.28,10.87,3.77,7.1,233.75,-3.13,4.19,-1.06,-5.25
2.38,78.94,0.42,99.64,4.41,7.06,1.91,5.15,194.75,6.14,8.91,2.56,6.34,195.25,-2.77,4.34,-0.49,-4.83
3.05,83.38,0.19,99.81,5.75,8.06,4.33,3.73,197,8.22,11,6.82,4.17,197.94,-0.67,6.67,2.47,-4.2
3.23,84.31,0.82,99.32,6.66,8.28,5,3.28,191.31,9.29,11.45,8.03,3.42,192.5,0.08,3.6,2.12,-1.49
3.48,84.5,0.1,99.39,7,9.8,4.88,4.92,210.5,9.95,13.45,7.14,6.31,211.62,1.14,5.58,4.51,-1.06
3.36,90.19,7.73,99,5.12,10.29,2.03,8.26,243.5,7.13,14.01,2.83,11.18,244.19,-0.53,4.73,1.36,-3.38
2.2,78,1.44,99.98,7.73,9.76,5.48,4.27,216.81,10.41,12.39,8.23,4.16,217.88,-3.56,1.98,-2.7,-4.68
3.05,89.75,5.71,99.57,8.65,9.98,5.6,4.38,220.38,11.3,12.91,7.59,5.33,221.75,-1.42,3.59,0.37,-3.22
3.36,94,9.75,99.23,7.23,8.55,3.45,5.1,229.62,9.54,11.05,5.08,5.96,230.94,-1.07,7.22,0.42,-6.79
1.28,94.06,0.14,101.31,5.21,6.95,3.34,3.61,316.12,7.42,9.53,5.55,3.98,316.94,-12.38,11.15,-8.19,-19.34
0.98,94.06,0.04,102.22,4,4.96,2.48,2.48,217.12,6.63,9.37,4.15,5.21,217.38,-14.8,11.45,-8.17,-19.62
1.4,94.88,0,101.23,4.73,6.12,3.15,2.96,200.12,7.76,9.48,4.65,4.82,200.5,-11.11,11.38,-3.8,-15.18
1.59,96.69,0.08,101.56,2.16,3.59,0.91,2.69,109.62,3.22,5.99,1.23,4.76,109.25,-9.95,9.91,-4.12,-14.02
1.34,98.31,0.11,101.71,2.95,3.51,2.38,1.12,46.94,4.61,6.07,2.7,3.37,47.12,-12.02,8.8,-6.25,-15.06
1.46,97.56,0.06,101.54,3.97,4.81,3.05,1.77,45.12,6.53,8.41,5.34,3.07,45.38,-10.93,7.81,-5.59,-13.4
1.34,97.06,0.04,100.98,3.29,4.12,1.56,2.55,63.19,5.1,7.12,2.32,4.8,62.94,-11.74,7.81,-6.61,-14.42
1.34,97.81,0.26,100.78,2.18,3.13,0.94,2.2,181.56,3.14,4.84,1.31,3.52,181.25,-11.94,6.65,-8.63,-15.28
1.77,96.38,0.59,100.46,2.95,4.2,0.47,3.73,71.12,4.55,5.75,0.65,5.1,71.62,-8.68,6.98,-5.56,-12.54
1.53,95.31,0.37,101.12,3.65,4.87,2.68,2.19,200.25,5.87,7.59,4.01,3.59,200.62,-10.24,7.91,-6.23,-14.14
1.46,97.31,1.81,101.22,4.86,6.6,2.83,3.77,145.56,7.12,9.54,4.33,5.21,146.12,-11.07,8.78,-6.88,-15.66
2.69,94.94,0.64,100.33,5.52,7.16,3.9,3.27,194,8.12,9.27,6.45,2.82,194.94,-3.57,5.59,-0.85,-6.45
2.87,94.75,6.24,99.06,9.91,16.39,4,12.39,205.62,12.89,20.38,6.61,13.77,206.81,-3.15,9.7,0.37,-9.33
1.16,95.62,0.72,100.1,8.62,13,6.1,6.9,250.06,10.88,16.05,8.48,7.58,251.38,-13.5,5.21,-10.06,-15.27
1.04,97.19,0.45,99.42,3.85,5.84,2.54,3.3,261.44,5.73,8.09,3.3,4.79,262,-14.88,3.19,-13.11,-16.31
0.79,98.38,0.73,99.56,4.17,5.8,3.1,2.7,247.94,6.12,7.43,4.39,3.03,248.69,-18.14,4.85,-16.61,-21.46
1.04,97.75,0.99,99.71,4.88,8.95,2.85,6.1,223.06,7.05,11.19,4.57,6.62,223.81,-15.07,9.5,-9.43,-18.93
1.83,95.75,3.1,98.86,8.82,10.28,7.5,2.78,215.94,11.2,12.94,9.81,3.12,217.5,-8.43,4.49,-5.38,-9.87
2.08,95.25,1.67,99.61,7.97,9.16,6.97,2.2,243.38,10.38,11.85,9.52,2.33,244.75,-6.83,1.44,-6.2,-7.64
2.08,95.81,2.43,99.49,5.23,9.8,1.88,7.91,242.81,7.32,12.66,3.05,9.61,243.44,-6.77,6.34,-4.74,-11.08
1.65,99.25,5.42,99.09,2.15,3.74,0.83,2.91,51.94,3.1,5.61,0.8,4.81,85.5,-10.18,5.94,-7.29,-13.23
0.85,98,2.11,100.35,3.14,5.43,0.31,5.12,202.81,3.79,6.63,0.24,6.39,249.62,-17.51,13.89,-12.75,-26.64
0.55,95.12,0.98,101.82,4.55,5.77,3.91,1.85,200.88,6.17,8,4.61,3.39,201.88,-21.85,14.13,-13.05,-27.18
1.46,96.69,4.63,100.78,6.3,7.52,4.28,3.24,227.94,8.44,9.38,7.36,2.02,229.19,-10.61,2.73,-9.5,-12.24
1.28,94.81,0.07,101.18,5.79,9.74,2.3,7.43,237.06,8.17,12.68,3.42,9.26,237.88,-12.66,11.34,-8.14,-19.48
1.46,95.44,0.29,100.79,6.55,8.66,4,4.66,249.75,9.38,11.16,7.57,3.6,250.81,-10.53,7.26,-7.02,-14.28
1.59,95.69,0.85,100.57,6.09,8.56,3.91,4.65,219.19,8.33,10.27,5.95,4.31,220.19,-9.7,6.91,-7.34,-14.24
0.61,98.5,0.03,101.3,3.5,4.87,2.12,2.75,298.56,5.88,8.95,3.64,5.31,298.81,-20.53,10.23,-14.7,-24.94
0.31,96.12,0.03,101.96,1.97,2.61,1.27,1.34,95,2.83,3.98,1.58,2.41,95,-26.3,5.89,-23.26,-29.15
0.24,96.69,0,102.26,3.49,4.8,2.2,2.6,87.56,5.69,8.14,3.04,5.1,87.62,-29.06,6.72,-25.27,-31.99
0.31,94.12,0,102,5.32,5.95,4.25,1.7,76.56,7.61,8.73,5.89,2.84,76.94,-26.93,5.95,-23.63,-29.58
0.31,94.44,0,101.66,6.2,7.35,4.89,2.46,89,8.47,9.99,7.16,2.84,89.75,-27.2,9.09,-23.17,-32.26
0.49,96.06,0.04,100.99,5.07,6.34,3.65,2.7,94.06,6.61,8.53,4.44,4.1,95.31,-23.07,11.41,-16.52,-27.92
1.04,96.94,1.5,100.5,3.43,4.05,2.47,1.59,206.69,5.47,7.42,2.98,4.45,207.56,-14.65,9.78,-10.06,-19.85
0.79,97.75,0.28,101.35,4.12,5.45,3.05,2.38,222,6.48,8.2,4.34,3.84,222.38,-17.38,5.3,-14.88,-20.17
1.16,96.81,1.34,101.53,5.01,5.78,4.3,1.48,181.06,6.88,7.47,6.05,1.42,181.69,-13.59,10.11,-10.4,-20.51
1.53,96.25,0.25,100.65,6.62,7.38,5.33,2.05,160.81,8.8,9.92,7.26,2.66,161.75,-10.34,1.45,-9.48,-10.94
1.53,95.62,1.51,100.02,7.45,9.23,5.56,3.67,203.19,9.48,11.06,7.44,3.62,204.25,-11.1,14.43,-6.24,-20.67
0.67,96.06,0.43,101.73,6.97,8.77,5.56,3.21,211.06,8.77,10.57,7.59,2.98,212.19,-19.38,7.14,-15.89,-23.02
0.85,92.25,0.02,100.9,7.8,8.36,7.01,1.35,161.38,9.83,10.48,8.76,1.71,162.25,-16.2,6.69,-12.98,-19.67
1.53,96.38,1.85,100.22,5.68,8.01,3.5,4.5,204.25,7.91,10.42,5.6,4.82,205,-10.17,3.7,-8.91,-12.61
0.92,95.56,0.34,101.11,7.07,8.03,6.13,1.9,220.69,9.25,10.42,8.32,2.11,221.56,-15.92,8.9,-10.52,-19.42
0.92,95.62,0.16,101.42,6.66,7.82,4.48,3.34,209.25,8.78,9.8,6.95,2.85,210.31,-15.63,3.67,-14.15,-17.81
0.79,96.19,0.09,101.48,3.51,4.55,2.15,2.4,205.62,5.62,7.16,3.26,3.9,205.81,-17.11,3.15,-14.89,-18.04
0.55,99,0.06,101.47,2.17,3.31,1.51,1.8,218.75,3.41,4.53,2.45,2.08,218.62,-21.23,5.95,-17.86,-23.81
0.49,98.62,0.06,101.33,3.2,3.93,2.57,1.36,132.12,5.12,6.42,3.53,2.89,132.25,-23.01,4.99,-20.97,-25.95
0.61,98.12,0.01,100.68,3.8,5.12,2.73,2.39,128.75,6.56,8.68,3.81,4.87,129.12,-20.04,6.98,-16.31,-23.29
1.59,96.38,5.68,100.01,5.87,7.55,3.84,3.71,165.81,8.11,8.93,6.36,2.57,166.62,-10.99,13.97,-3.56,-17.52
1.77,92.94,2.15,99.96,10.45,12.66,4.31,8.34,230.12,13.37,15.8,6.6,9.2,231.12,-8.24,7.89,-3.42,-11.31
0.98,94.69,1.84,100.26,9.33,12.9,6.94,5.97,215.56,11.76,15.71,9.43,6.28,216.56,-14.78,6.59,-11.41,-18
1.77,94.19,3.1,98.7,9.91,12.6,5.99,6.61,226.69,12.85,15.57,9.2,6.37,227.88,-8.44,4.91,-5.91,-10.82
1.95,94.44,5.37,98.71,7.74,9.02,6.74,2.27,216.12,10.12,11.67,9.06,2.61,217.25,-7.31,1.05,-6.72,-7.77
1.04,95,2.19,99.65,6.62,9.64,3.39,6.24,258.31,8.75,11.28,4.66,6.63,259.12,-17.65,22.37,-6.34,-28.71
0.67,94.94,1.58,100.64,8.02,11.01,3.28,7.73,230.56,10.2,13.02,6.24,6.79,231.88,-19.26,7.69,-16.13,-23.81
0.37,94.56,0.05,101.49,2.85,3.73,1.46,2.27,132.06,4.41,6.05,2.13,3.91,131.94,-26.25,8.64,-21.06,-29.7
0.67,98.06,0.53,101.58,3.16,3.98,2.19,1.78,196.62,4.98,5.85,3.73,2.12,196.94,-19.69,10.13,-15.99,-26.12
0.79,98.81,0.08,101.65,3.51,4.38,1.73,2.64,183.75,5.46,6.77,2.66,4.11,183.94,-17.69,4.84,-15.07,-19.91
0.61,96.19,0.39,100.81,3.77,4.35,3.3,1.05,220.81,5.05,6.32,4.64,1.68,221.12,-19.85,3.66,-18.13,-21.8
0.79,94.19,0.36,101.03,4.66,6.79,2.7,4.09,238.31,6.76,8.84,5.09,3.76,238.88,-17.65,7.25,-14.03,-21.28
1.4,94.94,2.23,101.35,6.05,7.32,5.03,2.29,215.44,8.09,9.02,7.3,1.71,216.56,-11.33,7.38,-8.42,-15.81
1.4,94.88,0.31,101.01,8.08,9.04,6.11,2.93,198.69,10.32,11.36,8.39,2.97,200,-10.95,6.95,-7.74,-14.69
1.22,95.94,1.51,100.95,4.62,8.75,1.76,6.99,259.31,6.4,10.91,2.44,8.48,260.25,-12.47,4.27,-10.29,-14.56
0.73,98.19,0.2,101.61,1.64,3,0.27,2.73,224.5,2.48,5.51,0.32,5.19,224.25,-18.37,6.36,-15.24,-21.6
0.73,97.56,1.03,100.84,4.77,6.05,2.88,3.17,140.75,6.7,8.41,5.1,3.31,141.31,-18.96,13.37,-11.44,-24.81
1.65,95.44,0.69,100.13,5.3,6.38,4.02,2.36,202,8.05,9.15,7.05,2.09,202.69,-9.48,6.65,-5.38,-12.03
2.32,94.19,3.83,99.6,8.44,10.56,4.83,5.73,189.44,11.17,13.71,8.55,5.16,190.5,-5.64,10.07,-2.79,-12.87
1.34,93,1.13,99.85,9.41,11.6,6.86,4.75,238.94,11.8,14.72,8.74,5.98,240.12,-11.51,7.34,-7.06,-14.41
0.67,95,0.08,101.29,7.11,8.24,6.09,2.16,246.19,9.21,10.05,8.25,1.8,247.12,-19.26,6.62,-14.34,-20.96
0.67,95.44,0.25,100.81,7.03,8.6,5.85,2.75,188.62,9.16,10.88,7.94,2.95,189.44,-19.37,10.5,-14.7,-25.2
1.16,95.19,0.8,99.93,5.16,5.84,4.45,1.4,218.25,7.88,9.09,6.62,2.48,219,-13.35,8.41,-9.48,-17.89
1.46,96.62,2.98,99.68,3.67,5.63,1.38,4.25,226.75,5.33,7.55,2,5.55,227.06,-10.72,2.32,-9.66,-11.98
0.98,96.25,0.86,99.95,3.69,5.47,1.54,3.93,158.88,5.53,6.79,2.05,4.73,159.25,-16.37,14.91,-11.52,-26.44
0.43,100,0.12,100.55,2.26,3.82,1.18,2.64,100.56,3.41,5.57,1.55,4.02,100.69,-25.26,9.77,-19.97,-29.74
1.22,96.94,5.91,98.55,7.32,11.28,3.98,7.3,147.5,9.44,13.9,6.03,7.88,148.62,-13.75,14.84,-5.46,-20.3
0.55,94,0.67,99.92,6.67,10.89,3.27,7.62,275,8.83,13.5,6.16,7.34,275.75,-20.63,9.39,-16.19,-25.59
0.37,96.06,0.01,101.92,5.03,6.7,3.46,3.24,205.44,7.15,8.12,5.76,2.36,205.69,-25.18,9.47,-21.58,-31.05
0.49,96.94,0.02,101.82,5.25,6.4,3.46,2.94,188.5,7.25,8.81,5.2,3.61,188.94,-22.27,6.61,-18.42,-25.04
0.49,94.75,0.01,101.61,5.55,6.54,4.8,1.73,176.88,8.42,9.75,6.64,3.11,177.19,-22.1,11.05,-15.88,-26.93
0.61,95,0.01,101.69,4.38,5.91,2.75,3.16,177.56,7.13,9.26,4.59,4.66,177.5,-20.29,9.24,-14.98,-24.22
0.67,84.5,0,101.38,3.41,4.29,1.65,2.64,148.31,5.21,7.51,2.5,5.01,148.44,-17.81,7.06,-13.38,-20.44
0.79,94.06,0.01,101.33,5.6,6.56,4.34,2.23,188.44,7.91,8.95,7.15,1.8,188.94,-17.56,9.25,-13.35,-22.6
1.1,95,0.06,101.29,5.43,6.54,4.55,1.99,185.94,7.94,9.46,7.18,2.27,186.44,-13.56,4.48,-10.69,-15.17
1.16,97,0.26,101.44,5.2,6.41,3.99,2.43,216,7.27,8.4,5.52,2.89,216.75,-13.11,5.09,-10.1,-15.18
0.85,97.75,0.28,101.61,4.09,4.66,3.23,1.42,245,5.44,6.3,4.74,1.56,245.44,-16.42,2.78,-14.98,-17.76
0.67,96.81,0.51,101.69,2.88,3.65,2.11,1.54,258.25,4.48,6.14,2.77,3.38,258.56,-19.23,4.88,-16.77,-21.65
0.92,95.38,0.35,101.3,5.74,6.92,3.99,2.93,197.19,7.87,8.88,6.44,2.45,198.12,-15.89,5.52,-13.38,-18.89
0.85,96.62,0.1,101.89,4.84,5.97,3.38,2.59,124.44,7.3,8.4,5.62,2.78,125.06,-16.84,11.45,-11.6,-23.04
0.49,97.38,0.07,102.52,4.62,5.6,3.22,2.38,41.38,6.48,8.21,5.09,3.12,41.88,-22.1,8.16,-17.35,-25.51
0.61,96.5,0.09,102.25,4.05,5.3,2.84,2.47,207.12,6.41,8.12,3.88,4.25,207.62,-20.65,10.38,-15.49,-25.88
0.67,94.31,0.18,101.94,2.37,3.38,1.37,2.02,232.12,3.74,6.12,1.47,4.65,232.31,-19.31,7.92,-13.88,-21.8
0.55,94.81,0.19,102.25,2.58,3.09,2.12,0.98,121.88,3.98,5.9,2.81,3.09,122.12,-20.6,6.88,-16.07,-22.94
0.43,97.5,0.04,102.49,2.46,3.43,1.8,1.64,33.62,3.6,5.38,1.93,3.45,33.81,-23.74,7.98,-18.88,-26.85
0.55,96.88,0.07,102.45,2.62,3.16,1.9,1.26,18.44,4.04,5.73,2.23,3.51,18.69,-21.75,8.42,-16.88,-25.3
0.55,96.69,0.07,102.28,2.3,3.6,1.5,2.1,42.88,3.52,6.08,1.95,4.13,43.06,-21.67,8.18,-16.84,-25.01
0.49,96.06,0.12,101.84,1.57,2.71,0.79,1.92,205,2.34,4.88,0.82,4.06,205.75,-22.37,10.17,-17.15,-27.31
0.61,98,0.29,101.72,1.3,2.53,0.47,2.07,282.5,1.84,3.68,0.47,3.21,284.31,-20.49,6.66,-15.96,-22.62
0.61,96.56,0.03,101.18,4.73,6.25,1.91,4.34,161.38,6.1,8.05,2.87,5.19,161.88,-20.08,8.91,-16.17,-25.09
1.71,95.56,1.19,99.81,7.31,9.4,6.23,3.17,191.5,9.52,12.3,7.84,4.47,192.5,-9.47,10.17,-5.27,-15.45
1.53,94.5,0.52,99.81,7.79,10.02,4.69,5.34,239.69,9.98,12.47,6.19,6.28,240.5,-10.36,8.75,-6.91,-15.66
0.55,95.56,0.09,100.82,3.62,4.5,2.18,2.32,307.38,4.73,5.9,2.99,2.91,307.62,-21.88,11.15,-16.35,-27.5
0.31,96.25,0.04,101.37,5.48,8.01,2.4,5.61,218.88,7.31,10.59,3.33,7.26,219.31,-26.95,11.12,-21.5,-32.63
0.55,94.38,0.63,100.39,8.59,10.15,7.32,2.83,187.5,10.23,11.73,8.8,2.93,188.75,-21.18,9.12,-16.96,-26.08
0.67,94.06,0.34,100.67,7.71,10.19,2.95,7.23,241.69,10.08,12.26,5.42,6.84,242.31,-18.94,4.52,-17.35,-21.88
0.73,95.5,0.74,100.27,5.42,7.21,3.24,3.97,220.81,7.47,8.51,5.59,2.91,221.38,-18.09,7.08,-15.5,-22.58
0.67,95.88,0.91,99.76,7.35,9.73,4.02,5.7,214.44,9.34,12.05,6.79,5.26,215.19,-19.57,11.62,-15.16,-26.77
1.16,94.06,0.75,99.56,9.64,12.85,7.59,5.26,217.44,12.04,16.09,9.62,6.47,218.5,-13.05,5.1,-10.49,-15.6
0.98,93.44,0.26,100.35,8.32,9.94,6.73,3.21,225.44,10.55,11.86,9.12,2.74,226.44,-14.67,4.97,-12.37,-17.34
0.92,95.06,0.07,101.16,6.35,9.32,3.53,5.79,225.5,8.74,11.04,5.81,5.22,226.25,-15.52,7.2,-11.71,-18.91
1.04,95.5,0.04,100.78,5.2,7.96,3.53,4.43,174.5,7.26,11.09,4.98,6.11,174.88,-15.5,14.95,-7.85,-22.8
1.28,93.25,1.58,99.32,10.8,12.98,8.17,4.81,209.44,13.1,15.22,10.22,5.01,210.25,-13.79,19.84,-4.27,-24.12
0.37,92.06,0.14,100.91,8.54,9.88,6.45,3.43,240.75,10.66,12.46,8.58,3.88,241.81,-25.13,6.23,-22.68,-28.92
0.49,94.88,0.15,103.02,7.27,8.02,6.21,1.81,224.12,8.99,10.18,8.25,1.93,225.44,-21.85,8.91,-17.35,-26.27
0.67,94,0.04,103.06,7.64,9.12,6.55,2.56,202.94,9.43,10.45,8.19,2.27,203.81,-19.02,6.4,-15.6,-22
0.79,93.06,0.01,102.69,5.92,6.7,4.87,1.83,201.19,7.95,9.65,6.48,3.18,201.94,-17.39,11.19,-11.6,-22.79
1.04,94.19,0.02,102.3,4.66,5.7,2.88,2.82,179.62,7.2,10.52,4.27,6.25,179.81,-14.41,13.44,-6.98,-20.41
1.59,92.38,0.01,101.66,7.52,8.41,5.81,2.59,187.62,10.29,11.75,9.38,2.37,188.56,-9.64,13.54,-2.66,-16.2
2.01,88.75,0,101.02,7.38,8.67,5.46,3.22,182.62,10.65,12.33,8.18,4.15,183.56,-6.32,10.55,-0.02,-10.57
2.14,91.81,2.39,100.09,8.91,9.84,7.88,1.95,206.31,11.34,12.77,9.91,2.85,207.31,-6.21,9.8,-2.14,-11.94
1.04,90.62,1.14,101.01,5.02,8.2,2.95,5.24,195.38,6.8,9.95,3.23,6.72,180.88,-13.82,11.45,-8.7,-20.13
1.65,93.19,3.52,99.42,10.81,14.5,8.02,6.48,212.56,13.38,17.46,10.42,7.04,213.75,-9.58,13.29,-1.46,-14.75
1.1,94.44,0.67,100.95,8.4,9.45,6.14,3.31,220.44,10.52,11.78,8.82,2.96,221.44,-14.01,7.12,-10.75,-17.88
1.16,93.25,0.34,101.11,4.64,8.23,3.05,5.17,262.81,6.59,10.51,4.74,5.77,262.94,-13.06,8.21,-10.12,-18.33
0.85,95.44,0.09,102.25,8.15,10.96,4.16,6.8,225.94,10.3,12.92,7.38,5.54,226.88,-16.39,10.08,-12.23,-22.31
1.22,95,0.2,101.58,9.03,9.97,8.26,1.71,206.31,11.01,11.73,10.51,1.22,207.69,-12.76,6.84,-9.58,-16.42
1.53,94.75,2.85,99.82,5.47,8.2,2.35,5.84,214.25,7.12,10.41,3.91,6.5,214.88,-10.22,4.41,-7.99,-12.4
1.4,96.5,2.21,99.55,4.03,6.12,2.49,3.63,216,5.6,7.16,4.22,2.95,216.25,-11.58,5.44,-9.31,-14.75
1.46,94.94,0.33,99.23,3.16,4.48,0.41,4.07,271.19,4.52,6.27,0.78,5.48,271.94,-10.79,7.19,-6.8,-13.99
1.04,95.19,0.32,99.96,4.22,7.11,1.77,5.34,267.06,5.91,8.2,2.38,5.83,267.31,-14.57,10.16,-10.09,-20.24
0.85,95,0.14,100.62,3.56,5.76,1.67,4.09,258.81,5.06,7.49,2.23,5.27,259.31,-16.95,10.81,-11.84,-22.65
1.04,93.56,0.15,101.28,4.37,6.89,2.62,4.27,254.38,6.49,7.85,4.62,3.23,254.81,-14.56,10.47,-9.4,-19.86
1.4,93.12,0.33,100.79,3.94,4.91,2.82,2.09,263.94,5.95,7.23,4.88,2.34,264.31,-11.02,11.04,-5.42,-16.46
1.4,95.44,0.53,100.59,3.49,4.91,2.37,2.54,277.31,4.87,6.02,3.88,2.14,277.44,-11.25,10.79,-7.97,-18.76
0.92,95.44,0.07,100.65,3.59,5.04,2.87,2.17,247.81,5.02,5.96,3.31,2.65,247.81,-16.74,13.91,-9.28,-23.2
1.34,96.62,0.23,100.44,5.84,7.77,3.11,4.66,234.19,7.8,10.09,5.7,4.38,234.69,-12.33,10.17,-8.07,-18.25
1.89,96.44,3.53,99.45,10.1,12.77,7.31,5.45,232.94,12.48,15.38,9.92,5.46,234.31,-8.06,5.77,-5.48,-11.25
2.38,95.81,0.67,99.85,7.95,10.06,6.1,3.96,239.81,10.05,12.04,7.92,4.12,241,-5.31,6.69,-1.95,-8.64
2.2,92.62,0.79,100.61,4.15,5.63,3.09,2.55,213.81,6.08,7.54,4.3,3.23,214.38,-5.7,5.94,-2.94,-8.88
2.01,94.44,0.55,100.44,4.88,7.16,3.55,3.61,224.12,7.27,8.69,5.3,3.4,224.5,-7.09,7.61,-3.1,-10.7
2.32,95.5,0.77,100.35,5.7,7.36,4.3,3.06,246.56,7.72,8.8,6.59,2.2,247.5,-5.44,8.05,-1.6,-9.66
2.01,95.31,0.55,100.44,3.52,5.06,1.85,3.21,210.69,4.86,6.6,2.72,3.88,210.88,-6.86,5.47,-3.71,-9.19
1.89,94.62,1.03,100.33,2.91,4.48,1.52,2.95,285.69,4.38,6.8,2.31,4.49,285.81,-7.68,6.29,-4.36,-10.65
1.71,94.06,0.09,100.76,2.98,3.76,1.82,1.94,253.81,4.38,6.1,2.73,3.38,253.81,-8.67,9.98,-3.13,-13.11
2.01,96.44,0.17,101.05,5.17,7.11,3.45,3.66,252.56,7.09,8.94,5.65,3.29,253.25,-7.17,10.11,-2.07,-12.18
2.08,96.44,0.34,101.36,4.87,5.56,4.02,1.54,261.31,6.73,8.44,5.53,2.91,262.06,-6.77,8.01,-2.21,-10.23
2.5,97.25,0.31,101.55,5.5,6.69,4.66,2.03,255.19,6.93,9.29,5.49,3.8,256.06,-4.97,11.1,0.08,-11.02
2.56,95.31,0.3,101.19,7.33,8.5,5.88,2.62,239.94,9.19,10.98,7.68,3.3,241,-4.24,6.89,-0.58,-7.47
2.93,95.12,2.57,100.07,9.63,12.19,7.15,5.03,227.94,11.84,15.21,8.95,6.27,229.31,-2.85,7.84,0.3,-7.55
3.48,94.12,1.83,99.14,9.09,10.39,6.71,3.68,250.94,11.33,12.72,8.65,4.07,252.12,-0.36,1.97,0.31,-1.65
3.42,94.12,0.62,99.91,5.41,6.53,4.5,2.03,275.19,7.24,8.5,5.77,2.73,276.12,-0.49,3.12,0.57,-2.55
3.3,95.62,0.65,100.64,7.21,8.79,5.04,3.75,254.19,9.27,11.27,7.17,4.1,255.19,-1.1,4.9,0.55,-4.35
3.3,94.5,0.91,100.77,4.24,6.55,2.72,3.84,244.62,5.95,8.43,4.54,3.89,245.25,-0.91,2.88,0.4,-2.49
3.42,95.88,0.06,100.54,7.05,7.98,4.34,3.65,215.75,9.02,10.29,7.14,3.15,216.75,-0.82,3.65,0.6,-3.05
3.6,96.06,4.8,99.33,5.2,7.57,3.16,4.41,233.25,6.86,9.7,4.88,4.83,234.06,-0.27,2.53,0.6,-1.94
3.23,94.19,1.75,99.49,6.84,8.62,4.85,3.77,279.31,8.71,10.62,6.8,3.82,280.38,-1.37,4.46,0.15,-4.31
